date,admissions,discharges,hosp,rea,hosp_rel,icu_rate
2020-09-30,118096,96766,6572,1232,0.19637841391262775,0.176
2020-10-01,118605,97240,6634,1259,0.19823104045897327,0.17985714285714285
2020-10-02,119203,97747,6740,1270,0.2013984342317576,0.18142857142857144
2020-10-03,119592,98199,6740,1289,0.2013984342317576,0.18414285714285714
2020-10-04,119992,98343,6964,1335,0.2080917946572641,0.19071428571428573
2020-10-05,120455,98649,7276,1409,0.21741468953564813,0.2012857142857143
2020-10-06,120921,99264,7377,1417,0.22043267794179167,0.20242857142857143
2020-10-07,121535,99762,7514,1406,0.22452638498774877,0.20085714285714285
2020-10-08,122076,100275,7603,1418,0.22718580051395446,0.20257142857142857
2020-10-09,122811,100797,7843,1439,0.2343572581127114,0.20557142857142857
2020-10-10,123241,101280,7976,1456,0.23833144086535588,0.208
2020-10-11,123589,101460,8231,1483,0.24595111456403515,0.21185714285714285
2020-10-12,124277,101868,8671,1539,0.25909878682842286,0.21985714285714286
2020-10-13,124959,102649,8928,1633,0.26677822267375845,0.2332857142857143
2020-10-14,125784,103382,9173,1664,0.27409908563915614,0.2377142857142857
2020-10-15,126707,104051,9584,1741,0.2863802067770274,0.24871428571428572
2020-10-16,127469,104665,10021,1791,0.2994382358214307,0.25585714285714284
2020-10-17,127997,105163,10399,1868,0.3107332815394729,0.26685714285714285
2020-10-18,128439,105400,10897,1939,0.3256140560568936,0.277
2020-10-19,129334,105904,11640,2090,0.3478156935397119,0.2985714285714286
2020-10-20,130452,106808,12435,2168,0.37157114683559433,0.3097142857142857
2020-10-21,131360,107621,13162,2239,0.39329468714516225,0.31985714285714284
2020-10-22,132589,108568,14009,2310,0.4186039562541086,0.33
2020-10-23,133789,109455,14985,2432,0.4477678838223869,0.3474285714285714
2020-10-24,134438,110291,15637,2491,0.4672503436323433,0.35585714285714287
2020-10-25,135057,110629,16454,2575,0.49166318054144503,0.3678571428571429
2020-10-26,136491,111316,17761,2761,0.5307177433813423,0.3944285714285714
2020-10-27,138035,112685,18955,2909,0.5663957449351581,0.4155714285714286
2020-10-28,139575,113946,20184,3036,0.6031195840554593,0.4337142857142857
2020-10-29,140867,115256,21160,3147,0.6322835116237375,0.44957142857142857
2020-10-30,142385,116502,22153,3368,0.6619554174385944,0.48114285714285715
2020-10-31,143536,117563,23013,3443,0.6876531405008068,0.4918571428571429
2020-11-01,144535,118196,24008,3569,0.71738480846232,0.5098571428571429
2020-11-02,145945,119073,25120,3721,0.7506125620032271,0.5315714285714286
2020-11-03,147991,120683,26242,3869,0.7841391262774159,0.5527142857142857
2020-11-04,150471,122631,27511,4080,0.8220582083308432,0.5828571428571429
2020-11-05,152073,124247,28403,4221,0.8487121257395566,0.603
2020-11-06,154182,126298,28955,4321,0.8652064782166975,0.6172857142857143
2020-11-07,155984,127907,29396,4410,0.8783840315544135,0.63
2020-11-08,157310,128583,30217,4527,0.9029163927568278,0.6467142857142857
2020-11-09,159039,129704,31098,4677,0.9292416183589315,0.6681428571428571
2020-11-10,161188,131889,31477,4736,0.9405665451503018,0.6765714285714286
2020-11-11,163354,133665,31918,4789,0.9537440984880177,0.6841428571428572
2020-11-12,165332,134923,32654,4884,0.975736568457539,0.6977142857142857
2020-11-13,167275,137124,32676,4887,0.9763939520707584,0.6981428571428572
2020-11-14,169385,139110,32468,4855,0.9701786888185023,0.6935714285714286
2020-11-15,171146,139779,33050,4880,0.987569473495488,0.6971428571428572
2020-11-16,172556,140849,33466,4903,1.0,0.7004285714285714
2020-11-17,174513,143121,33139,4838,0.9902288890216937,0.6911428571428572
2020-11-18,177176,145360,32811,4759,0.9804278969700592,0.6798571428571428
2020-11-19,179614,147538,32314,4637,0.9655770035259666,0.6624285714285715
2020-11-20,182005,149490,31875,4566,0.952459212334907,0.6522857142857142
2020-11-21,183843,151146,31365,4493,0.9372198649375486,0.6418571428571429
2020-11-22,185228,151650,31522,4491,0.9419111934500687,0.6415714285714286
2020-11-23,186409,152561,31449,4438,0.9397298750971135,0.634
2020-11-24,188167,154648,30594,4277,0.9141815574015418,0.611
2020-11-25,190626,156521,29944,4136,0.8947588597382418,0.5908571428571429
2020-11-26,192637,158205,29282,4006,0.8749775891950039,0.5722857142857143
